CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SNGN,AERÓDROMO,GARANHUNS,GARANHUNS,PE,8° 50' 4'' S,36° 28' 17'' W,772 m,VFR Diurno,16/34,1320 m,30 m,PCN 6/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1988-0010,0,0,0,PD1988-0010,,,,AD,-,-
SNGR,AERÓDROMO,GOROTIRE,CUMARU DO NORTE,PA,7° 47' 1'' S,51° 8' 2'' W,200 m,VFR Diurno,9/27,900 m,45 m,"2500 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNGT,AERÓDROMO,GENTIO DO OURO,GENTIO DO OURO,BA,11° 26' 30'' S,42° 31' 8'' W,1082 m,VFR Diurno,6/24,1300 m,29 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0599,0,0,0,PD2000-0599,,,,AD,-,-
SNGU,AERÓDROMO,GURUPÁ,GURUPÁ,PA,1° 25' 1'' S,51° 38' 2'' W,20 m,VFR Diurno,14/32,1000 m,99 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNGX,AERÓDROMO,GUAXUPÉ,GUAXUPÉ,MG,21° 19' 36'' S,46° 43' 49'' W,849 m,VFR Diurno/Noturno,12/30,1500 m,30 m,PCN 19/F/A/Y/T,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-1879,PA2015-0387,0,0,PD2000-1879,PA2015-0387,,,AD,-,-
SNHS,AERÓDROMO,SANTA MAGALHÃES,SERRA TALHADA,PE,8° 3' 1'' S,38° 18' 31'' W,470 m,VFR Diurno,13/31,1300 m,30 m,PCN 6/F/B/Z/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2008-1508,0,0,0,PA2008-1508,,,,AD,-,-
SNIB,AERÓDROMO,ITABERABA,ITABERABA,BA,12° 30' 2'' S,40° 16' 2'' W,283 m,VFR Diurno,14/32,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNIC,AERÓDROMO,IRECÊ,IRECÊ,BA,11° 20' 24'' S,41° 50' 49'' W,784 m,VFR Diurno/Noturno,11/29,1400 m,30 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2292,0,0,0,PA2014-2292,,,,AP-0,4ª,-
SNIE,AERÓDROMO,CAETITÉ,CAETITÉ,BA,14° 0' 44'' S,42° 29' 38'' W,976 m,VFR Diurno,10/28,1365 m,20 m,PCN 12/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-3332,0,0,0,PA2015-3332,,,,AD,-,-
SNIG,AERÓDROMO,IGUATU,IGUATU,CE,6° 20' 52'' S,39° 17' 55'' W,213 m,VFR Diurno,16/34,1410 m,30 m,PCN 16/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-1945,0,0,0,PD2000-1945,,,,AD,-,-
SNIN,AERÓDROMO,PRAINHA,PRAINHA,PA,1° 48' 1'' S,53° 29' 2'' W,85 m,VFR Diurno,8/26,1200 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNIO,AERÓDROMO,CIPÓ,CIPÓ,BA,11° 7' 31'' S,38° 29' 13'' W,223 m,VFR Diurno,13/31,1620 m,27 m,PCN 4/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2097,0,0,0,PA2015-2097,,,,AD,-,-
SNIP,AERÓDROMO,ITAPETINGA,ITAPETINGA,BA,15° 14' 40'' S,40° 16' 38'' W,270 m,VFR Diurno,11/29,1060 m,29 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2366,0,0,0,PA2014-2366,,,,AD,-,-
SNIT,AERÓDROMO,IBOTIRAMA,IBOTIRAMA,BA,12° 10' 11'' S,43° 13' 18'' W,426 m,VFR Diurno,16/34,1200 m,20 m,PCN 6/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0526,0,0,0,PD2000-0526,,,,AD,-,-
SNIU,AERÓDROMO,IPIAÚ,IPIAÚ,BA,14° 10' 24'' S,39° 41' 3'' W,132 m,VFR Diurno,15/33,1300 m,20 m,PCN 6/F/C/Z/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2365,0,0,0,PA2014-2365,,,,AD,-,-
SNIY,AERÓDROMO,IBIMIRIM,IBIMIRIM,PE,8° 30' 1'' S,37° 40' 1'' W,405 m,VFR Diurno,16/34,1100 m,26 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNJA,AERÓDROMO,JARDIM DE ANGICOS,JARDIM DE ANGICOS,RN,5° 38' 19'' S,35° 57' 24'' W,150 m,VFR Diurno,12/30,1100 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNJB,AERÓDROMO,JACOBINA,JACOBINA,BA,11° 9' 47'' S,40° 33' 12'' W,489 m,VFR Diurno,14/32,900 m,25 m,PCN 6/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2078,0,0,0,PA2015-2078,,,,AD,-,-
SBFE,AERÓDROMO,JOÃO DURVAL CARNEIRO,FEIRA DE SANTANA,BA,12° 12' 2'' S,38° 54' 23'' W,238 m,VFR Diurno/Noturno,13/31,1500 m,30 m,PCN 30/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1573,0,0,0,PA2015-1573,,,,AP-1,3ª,-
SNJH,AERÓDROMO,SÃO JOSÉ DO JACUÍPE,SÃO JOSÉ DO JACUÍPE,BA,11° 27' 10'' S,40° 2' 32'' W,424 m,VFR Diurno,10/28,1150 m,30 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0531,0,0,0,PD2000-0531,,,,AD,-,-
SNJK,AERÓDROMO,JEQUIÉ,JEQUIÉ,BA,13° 52' 40'' S,40° 4' 17'' W,197 m,VFR Diurno,14/32,1280 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2695,0,0,0,PA2014-2695,,,,AP-0,4ª,-
SNJM,AERÓDROMO,AEROPORTO ELIAS BREDER,MANHUAÇU,MG,20° 15' 35'' S,42° 11' 2'' W,830 m,VFR Diurno,2/20,1170 m,30 m,PCN 14/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2008-1450,0,0,0,PA2008-1450,,,,AD,-,-
SNJN,AERÓDROMO,JANUÁRIA,JANUÁRIA,MG,15° 28' 29'' S,44° 23' 11'' W,480 m,VFR Diurno,8/26,1200 m,30 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1982-0206,0,0,0,PD1982-0206,,,,AD,-,-
SNJO,AERÓDROMO,AEROCLUBE DE JOÃO PESSOA,JOÃO PESSOA,PB,7° 5' 31'' S,34° 50' 33'' W,5 m,VFR Diurno,16/34,1010 m,30 m,"5000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNJP,AERÓDROMO,JOÃO PINHEIRO,JOÃO PINHEIRO,MG,17° 47' 15'' S,46° 7' 12'' W,911 m,VFR Diurno,6/24,1300 m,23 m,"5670 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0057,0,0,0,PD2000-0057,,,,AD,-,-
SNJQ,AERÓDROMO,JEQUITINHONHA,JEQUITINHONHA,MG,16° 28' 20'' S,41° 1' 30'' W,260 m,VFR Diurno,10/28,1130 m,23 m,PCN 6/F/C/Z/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0038,0,0,0,PD1984-0038,,,,AD,-,-
SNJR,AERÓDROMO,PREFEITO OCTÁVIO DE ALMEIDA NEVES,SÃO JOÃO DEL REI,MG,21° 5' 8'' S,44° 13' 31'' W,945 m,VFR Diurno/Noturno,8/26,1400 m,30 m,PCN 16/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1205,0,0,0,PA2015-1205,,,,AP-0,3ª,-
SNJW,AERÓDROMO,JAGUARÁ,SACRAMENTO,MG,20° 2' 28'' S,47° 25' 20'' W,582 m,VFR Diurno,2/20,1080 m,30 m,PCN 17/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1971-0015,0,0,0,PD1971-0015,,,,AD,-,-
SNKC,AERÓDROMO,COCOS,COCOS,BA,14° 7' 2'' S,44° 27' 2'' W,615 m,VFR Diurno,6/24,1000 m,23 m,PCN 6/F/B/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2385,0,0,0,PA2015-2385,,,,AD,-,-
SNKD,AERÓDROMO,CONCEIÇÃO DO MATO DENTRO,CONCEIÇÃO DO MATO DENTRO,MG,19° 1' 13'' S,43° 26' 2'' W,669 m,VFR Diurno,15/33,960 m,23 m,PCN 8/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0091,0,0,0,PD1984-0091,,,,AD,-,-
SNKE,AERÓDROMO,SANTANA DO ARAGUAIA,SANTANA DO ARAGUAIA,PA,9° 20' 7'' S,50° 21' 1'' W,182 m,VFR Diurno,1/19,1500 m,30 m,PCN 11/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1987-0157,0,0,0,PD1987-0157,,,,AD,-,-
SNKF,AERÓDROMO,DAS BANDEIRINHAS,CONSELHEIRO LAFAIETE,MG,20° 44' 19'' S,43° 47' 53'' W,1060 m,VFR Diurno,3/21,960 m,30 m,PCN 9/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNKI,AERÓDROMO,CACHOEIRO DO ITAPEMIRIM,CACHOEIRO DO ITAPEMIRIM,ES,20° 50' 7'' S,41° 11' 11'' W,78 m,VFR Diurno/Noturno,6/24,1200 m,30 m,PCN 14/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1473,0,0,0,PA2015-1473,,,,AD,-,-
SNKK,AERÓDROMO,CAICÓ,CAICÓ,RN,6° 26' 21'' S,37° 4' 41'' W,182 m,VFR Diurno,14/32,980 m,30 m,PCN 12/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2499,0,0,0,PA2015-2499,,,,AD,-,-
SNKL,AERÓDROMO,COLINAS,COLINAS,MA,5° 58' 1'' S,44° 14' 2'' W,120 m,VFR Diurno,11/29,1000 m,50 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNKN,AERÓDROMO,CURRAIS NOVOS,CURRAIS NOVOS,RN,6° 16' 51'' S,36° 32' 26'' W,365 m,VFR Diurno,10/28,1040 m,30 m,PCN 6/F/B/Y/U,Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNKO,AERÓDROMO,BROTAS DE MACAÚBAS,BROTAS DE MACAÚBAS,BA,12° 1' 15'' S,42° 37' 30'' W,813 m,VFR Diurno,13/31,1100 m,22 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0595,0,0,0,PD2000-0595,,,,AD,-,-
SNKR,AERÓDROMO,CORRENTE,CORRENTE,PI,10° 27' 7'' S,45° 8' 11'' W,473 m,VFR Diurno,11/29,1000 m,20 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNKS,AERÓDROMO,SANTA RITA DE CÁSSIA,SANTA RITA DE CÁSSIA,BA,10° 59' 21'' S,44° 30' 55'' W,458 m,VFR Diurno,9/27,800 m,35 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1705,0,0,0,PA2014-1705,,,,AD,-,-
SNKU,AERÓDROMO,CANUDOS,CANUDOS,BA,9° 54' 2'' S,39° 8' 1'' W,380 m,VFR Diurno,12/30,700 m,80 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNLC,AERÓDROMO,LAS CASAS,REDENÇÃO,PA,7° 58' 1'' S,50° 1' 2'' W,600 m,VFR Diurno,9/27,800 m,40 m,"2500 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0561,0,0,0,PA2015-0561,,,,AD,-,-
SNLH,AERÓDROMO,LAJINHA,LAJINHA,MG,20° 8' 25'' S,41° 36' 33'' W,625 m,VFR Diurno,17/35,900 m,45 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNLI,AERÓDROMO,DOUTOR JOSÉ MOURÃO,ABAETÉ,MG,19° 9' 26'' S,45° 29' 45'' W,664 m,VFR Diurno,17/35,1200 m,30 m,"5670 kg / 0,63 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0497E,0,0,0,PD1998-0497E,,,,AD,-,-
SNLN,AERÓDROMO,MUNICIPAL DE LINHARES,LINHARES,ES,19° 21' 19'' S,40° 4' 10'' W,40 m,VFR Diurno/Noturno,6/24,1350 m,30 m,PCN 14/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2012,0,0,0,PA2015-2012,,,,AD,-,-
SNLO,AERÓDROMO,SÃO LOURENÇO,SÃO LOURENÇO,MG,22° 5' 30'' S,45° 2' 43'' W,875 m,VFR Diurno,5/23,1300 m,30 m,PCN 14/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0097,0,0,0,PD1983-0097,,,,AP-0,4ª,-
SNLT,AERÓDROMO,PAULISTANA,PAULISTANA,PI,8° 9' 59'' S,41° 9' 14'' W,360 m,VFR Diurno,7/25,1060 m,30 m,"2500 kg / 0,5 MPa",Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNMA,AERÓDROMO,MONTE ALEGRE,MONTE ALEGRE,PA,1° 59' 48'' S,54° 4' 17'' W,99 m,VFR Diurno,10/28,1425 m,30 m,PCN 9/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1973-0043,0,0,0,PD1973-0043,,,,AD,-,-
SNMC,AERÓDROMO,MACAÚBAS,MACAÚBAS,BA,13° 1' 32'' S,42° 40' 23'' W,650 m,VFR Diurno,12/30,1318 m,19 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0600,0,0,0,PD2000-0600,,,,AD,-,-
SNMH,AERÓDROMO,PIRENÓPOLIS,PIRENÓPOLIS,GO,15° 50' 53'' S,48° 58' 49'' W,785 m,VFR Diurno,15/33,1295 m,30 m,PCN 18/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0969,0,0,0,PA2011-0969,,,,AD,-,-
SNMI,AERÓDROMO,MINA CARAÍBA,JAGUARARI,BA,9° 49' 48'' S,39° 53' 12'' W,442 m,VFR Diurno,17/35,1750 m,36 m,PCN 6/F/B/Y/U,Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0217,0,0,0,PA2016-0217,,,,AD,-,-
SNMJ,AERÓDROMO,MARACÁS,MARACÁS,BA,13° 23' 10'' S,40° 27' 58'' W,962 m,VFR Diurno,7/25,1300 m,20 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1386,0,0,0,PA2014-1386,,,,AD,-,-
SNMK,AERÓDROMO,MOCAMBINHO,JAÍBA,MG,15° 5' 36'' S,43° 58' 46'' W,463 m,VFR Diurno,11/29,1520 m,25 m,PCN 14/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1997-0987,0,0,0,PD1997-0987,,,,AD,-,-
SNMM,AERÓDROMO,MORADA NOVA DE MINAS,MORADA NOVA DE MINAS,MG,18° 35' 38'' S,45° 21' 11'' W,606 m,VFR Diurno,3/21,1000 m,60 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNMN,AERÓDROMO,MINAS NOVAS,MINAS NOVAS,MG,17° 14' 2'' S,42° 35' 2'' W,750 m,VFR Diurno,15/33,800 m,20 m,"2500 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNMO,AERÓDROMO,MORADA NOVA,MORADA NOVA,CE,5° 5' 1'' S,38° 23' 1'' W,155 m,VFR Diurno,10/28,1015 m,18 m,"3000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNMR,AERÓDROMO,MARAÚ,MARAÚ,BA,14° 7' 2'' S,38° 59' 2'' W,20 m,VFR Diurno,12/30,800 m,30 m,"5000 kg / 0,5 MPa",Areia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNMX,AERÓDROMO,SÃO MATEUS,SÃO MATEUS,ES,18° 43' 17'' S,39° 50' 1'' W,30 m,VFR Diurno/Noturno,8/26,1350 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2013,0,0,0,PA2015-2013,,,,AD,-,-
SNMZ,AERÓDROMO,PORTO DE MOZ,PORTO DE MOZ,PA,1° 44' 21'' S,52° 14' 42'' W,16 m,VFR Diurno,5/23,1310 m,28 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1991-0087,0,0,0,PD1991-0087,,,,AD,-,-
SNNE,AERÓDROMO,SEBASTIÃO CARLOS LEITE,SÃO JOÃO NEPOMUCENO,MG,21° 32' 32'' S,43° 1' 16'' W,403 m,VFR Diurno,12/30,620 m,40 m,"3000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNNH,AERÓDROMO,CARINHANHA,CARINHANHA,BA,14° 18' 12'' S,43° 46' 32'' W,452 m,VFR Diurno,13/31,1337 m,21 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0597,0,0,0,PD2000-0597,,,,AD,-,-
SNNP,AERÓDROMO,NILO PEÇANHA,NILO PEÇANHA,PA,8° 4' 1'' S,52° 10' 2'' W,300 m,VFR Diurno,18/36,1200 m,60 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNNU,AERÓDROMO,NANUQUE,NANUQUE,MG,17° 49' 2'' S,40° 20' 2'' W,180 m,VFR Diurno,10/28,1200 m,30 m,PCN 13/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1974-0256,0,0,0,PD1974-0256,,,,AD,-,-
SNOB,AERÓDROMO,VIRGÍLIO TÁVORA,SOBRAL,CE,3° 40' 42'' S,40° 20' 13'' W,64 m,VFR Diurno,10/28,1033 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNOC,AERÓDROMO,MORRO DO CHAPÉU,MORRO DO CHAPÉU,BA,11° 32' 4'' S,41° 10' 47'' W,1100 m,VFR Diurno,15/33,1000 m,25 m,PCN 7/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1966-0130,0,0,0,PD1966-0130,,,,AD,-,-
SNOE,AERÓDROMO,OEIRAS,OEIRAS,PI,7° 1' 8'' S,42° 10' 2'' W,250 m,VFR Diurno,11/29,1200 m,40 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNOF,AERÓDROMO,OURO FINO,OURO FINO,MG,22° 17' 51'' S,46° 23' 36'' W,859 m,VFR Diurno,6/24,1080 m,50 m,"2500 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNOS,AERÓDROMO,MUNICIPAL JOSÉ FIGUEIREDO,PASSOS,MG,20° 44' 0'' S,46° 39' 35'' W,822 m,VFR Diurno/Noturno,14/32,1500 m,30 m,PCN 19/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-2698,0,0,0,PA2013-2698,,,,AD,-,-
SNOU,AERÓDROMO,NOVO AERÓDROMO DE FEIJÓ,FEIJÓ,AC,8° 8' 27'' S,70° 20' 50'' W,120 m,VFR Diurno,3/21,1200 m,24 m,"5500 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2007-0390,0,0,0,PA2007-0390,,,,AD,-,-
SNOX,AERÓDROMO,ORIXIMINÁ,ORIXIMINÁ,PA,1° 42' 49'' S,55° 50' 9'' W,80 m,VFR Diurno,17/35,1600 m,30 m,PCN 27/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1989-0025,PD1989-0029,0,0,PD1989-0025,PD1989-0029,,,AD,-,-
SNOY,AERÓDROMO,OURICURI,OURICURI,PE,7° 52' 36'' S,40° 5' 32'' W,466 m,VFR Diurno,15/33,1400 m,28 m,PCN 6/F/B/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPA,AERÓDROMO,PARÁ DE MINAS,PARÁ DE MINAS,MG,19° 50' 34'' S,44° 36' 4'' W,792 m,VFR Diurno,11/29,1140 m,23 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0584,0,0,0,PD1996-0584,,,,AD,-,-
SNPC,AERÓDROMO,PICOS,PICOS,PI,7° 3' 55'' S,41° 31' 10'' W,320 m,VFR Diurno,14/32,1200 m,24 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPD,AERÓDROMO,PATOS DE MINAS,PATOS DE MINAS,MG,18° 40' 20'' S,46° 29' 29'' W,851 m,VFR Diurno/Noturno,9/27,1700 m,30 m,PCN 39/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0576,0,0,0,PA2016-0576,,,,AP-1,-,-
SNPE,AERÓDROMO,FREITAS MELRO,PENEDO,AL,10° 16' 2'' S,36° 34' 1'' W,60 m,VFR Diurno,14/32,1500 m,20 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPI,AERÓDROMO,PIATÃ,PIATÃ,BA,13° 9' 56'' S,41° 46' 19'' W,1267 m,VFR Diurno,1/19,1350 m,25 m,PCN 10/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0601,0,0,0,PD2000-0601,,,,AD,-,-
SNPJ,AERÓDROMO,PATROCÍNIO,PATROCÍNIO,MG,18° 54' 33'' S,46° 58' 58'' W,984 m,VFR Diurno,5/23,1200 m,30 m,PCN 14/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1994-0628,0,0,0,PD1994-0628,,,,AD,-,-
SNPM,AERÓDROMO,PALMEIRAS,PALMEIRAS,BA,12° 30' 2'' S,41° 35' 2'' W,730 m,VFR Diurno,14/32,1000 m,30 m,PCN 12/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0617,0,0,0,PD2001-0617,,,,AD,-,-
SNPO,AERÓDROMO,TENENTE XAVIER,POMPÉU,MG,19° 12' 12'' S,45° 1' 24'' W,705 m,VFR Diurno,15/33,1200 m,70 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPQ,AERÓDROMO,PESQUEIRA,PESQUEIRA,PE,8° 22' 27'' S,36° 38' 16'' W,630 m,VFR Diurno,10/28,1000 m,38 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPT,AERÓDROMO,PASSA TEMPO,PASSA TEMPO,MG,20° 39' 2'' S,44° 30' 2'' W,958 m,VFR Diurno,1/19,600 m,40 m,"4000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPU,AERÓDROMO,PARAGUAÇU,PARAGUAÇU,MG,21° 33' 33'' S,45° 45' 6'' W,865 m,VFR Diurno,7/25,1175 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNPX,AERÓDROMO,PIRAPORA,PIRAPORA,MG,17° 19' 1'' S,44° 51' 37'' W,551 m,VFR Diurno,10/28,1480 m,30 m,"5670 kg / 0,67 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0199,0,0,0,PD1999-0199,,,,AD,-,-
